alpha_label,alpha_vec,n,k,metric,rule,win_share,mean_regret
one-dominant,"5,0.5,0.5,0.5,0.5",20,5,coord_avg,Discrete metric,0.0646,0.01111539115546844
one-dominant,"5,0.5,0.5,0.5,0.5",20,5,coord_avg,Quadratic distance,0.6008,0.002026619726897225
one-dominant,"5,0.5,0.5,0.5,0.5",20,5,coord_avg,Manhattan distance,0.3346,0.002737539811521914
one-dominant,"5,0.5,0.5,0.5,0.5",20,5,coord_max,Discrete metric,0.0002,0.06504669612654651
one-dominant,"5,0.5,0.5,0.5,0.5",20,5,coord_max,Quadratic distance,0.9896,2.0815174165325323e-05
one-dominant,"5,0.5,0.5,0.5,0.5",20,5,coord_max,Manhattan distance,0.0102,0.012868493842776964
one-dominant,"5,0.5,0.5,0.5,0.5",20,5,mean_linear,Discrete metric,0.0352,0.02712087041198079
one-dominant,"5,0.5,0.5,0.5,0.5",20,5,mean_linear,Quadratic distance,0.722,0.0010249015619900948
one-dominant,"5,0.5,0.5,0.5,0.5",20,5,mean_linear,Manhattan distance,0.2428,0.0034192901895174926
one-dominant,"5,0.5,0.5,0.5,0.5",20,5,mean_skewed,Discrete metric,0.4732,0.005990364278366058
one-dominant,"5,0.5,0.5,0.5,0.5",20,5,mean_skewed,Quadratic distance,0.386,0.01058088808788993
one-dominant,"5,0.5,0.5,0.5,0.5",20,5,mean_skewed,Manhattan distance,0.1408,0.008385531709420186
two-modes,"3,3,0.3,0.3,0.3",20,5,coord_avg,Discrete metric,0.0318,0.012057347287186956
two-modes,"3,3,0.3,0.3,0.3",20,5,coord_avg,Quadratic distance,0.7624,0.001147975858615748
two-modes,"3,3,0.3,0.3,0.3",20,5,coord_avg,Manhattan distance,0.2058,0.003744433050673649
two-modes,"3,3,0.3,0.3,0.3",20,5,coord_max,Discrete metric,0.0002,0.04621739786989589
two-modes,"3,3,0.3,0.3,0.3",20,5,coord_max,Quadratic distance,0.9996,9.216794187412142e-07
two-modes,"3,3,0.3,0.3,0.3",20,5,coord_max,Manhattan distance,0.0002,0.013462584249863428
two-modes,"3,3,0.3,0.3,0.3",20,5,mean_linear,Discrete metric,0.0384,0.02543548042438225
two-modes,"3,3,0.3,0.3,0.3",20,5,mean_linear,Quadratic distance,0.8206,0.000677360012185659
two-modes,"3,3,0.3,0.3,0.3",20,5,mean_linear,Manhattan distance,0.141,0.006396818104875883
two-modes,"3,3,0.3,0.3,0.3",20,5,mean_skewed,Discrete metric,0.3226,0.007653464056237364
two-modes,"3,3,0.3,0.3,0.3",20,5,mean_skewed,Quadratic distance,0.4986,0.0081550592943326
two-modes,"3,3,0.3,0.3,0.3",20,5,mean_skewed,Manhattan distance,0.1788,0.004941747063808897
graded,"5,2,1,0.5,0.2",20,5,coord_avg,Discrete metric,0.0678,0.007697694828276737
graded,"5,2,1,0.5,0.2",20,5,coord_avg,Quadratic distance,0.6714,0.0016227233997052621
graded,"5,2,1,0.5,0.2",20,5,coord_avg,Manhattan distance,0.2608,0.002416379529522251
graded,"5,2,1,0.5,0.2",20,5,coord_max,Discrete metric,0.0002,0.04670089097788574
graded,"5,2,1,0.5,0.2",20,5,coord_max,Quadratic distance,0.9994,1.3195493136728909e-06
graded,"5,2,1,0.5,0.2",20,5,coord_max,Manhattan distance,0.0004,0.012138698888143565
graded,"5,2,1,0.5,0.2",20,5,mean_linear,Discrete metric,0.0258,0.02727523127057949
graded,"5,2,1,0.5,0.2",20,5,mean_linear,Quadratic distance,0.8598,0.0005003947846017526
graded,"5,2,1,0.5,0.2",20,5,mean_linear,Manhattan distance,0.1144,0.006234159975310187
graded,"5,2,1,0.5,0.2",20,5,mean_skewed,Discrete metric,0.199,0.007758580381017421
graded,"5,2,1,0.5,0.2",20,5,mean_skewed,Quadratic distance,0.442,0.006174342285779428
graded,"5,2,1,0.5,0.2",20,5,mean_skewed,Manhattan distance,0.359,0.0032204578413444467
transition,"2,2,1,0.5,0.5",20,5,coord_avg,Discrete metric,0.2602,0.003760367348830703
transition,"2,2,1,0.5,0.5",20,5,coord_avg,Quadratic distance,0.5394,0.003292195920259286
